Newspaper,Decade,Total Pages,Pages with Faces
GDL,1790,20,15.0
GDL,1800,36,25.0
GDL,1810,26,7.6923076923076925
GDL,1820,32,3.125
GDL,1830,36,5.555555555555555
GDL,1840,24,0.0
GDL,1850,24,8.333333333333332
GDL,1860,24,4.166666666666666
GDL,1870,24,4.166666666666666
GDL,1880,24,4.166666666666666
GDL,1890,26,3.8461538461538463
GDL,1900,28,14.285714285714285
GDL,1910,30,13.333333333333334
GDL,1920,28,21.428571428571427
GDL,1930,28,21.428571428571427
GDL,1940,38,21.052631578947366
GDL,1950,48,16.666666666666664
GDL,1960,90,21.11111111111111
GDL,1970,78,14.102564102564102
GDL,1980,136,32.35294117647059
GDL,1990,208,35.57692307692308
JDG,1820,26,0.0
JDG,1830,54,1.8518518518518516
JDG,1840,50,2.0
JDG,1850,48,4.166666666666666
JDG,1860,48,6.25
JDG,1870,46,4.3478260869565215
JDG,1880,50,10.0
JDG,1890,52,1.9230769230769231
JDG,1900,54,16.666666666666664
JDG,1910,50,8.0
JDG,1920,110,10.0
JDG,1930,104,19.230769230769234
JDG,1940,92,10.869565217391305
JDG,1950,116,25.0
JDG,1960,166,18.67469879518072
JDG,1970,186,22.043010752688172
JDG,1980,306,34.967320261437905
JDG,1990,424,29.009433962264154
IMP,1880,34,2.941176470588235
IMP,1890,52,23.076923076923077
IMP,1900,68,25.0
IMP,1910,52,32.69230769230769
IMP,1920,64,45.3125
IMP,1930,54,35.18518518518518
IMP,1940,56,28.57142857142857
IMP,1950,94,50.0
IMP,1960,144,41.66666666666667
IMP,1970,200,41.0
IMP,1980,210,50.476190476190474
IMP,1990,202,48.01980198019802
IMP,2000,216,70.83333333333334
IMP,2010,188,77.6595744680851
